"Time","Processes"
2023-04-03 20:25:20,2708
2023-04-03 20:25:40,4211.8
2023-04-03 20:26:00,3916.6
2023-04-03 20:26:20,1851.4
2023-04-03 20:26:40,2958.2
2023-04-03 20:27:00,3274.4
2023-04-03 20:27:20,1275.4
2023-04-03 20:27:40,2202
2023-04-03 20:28:00,4127.8
2023-04-03 20:28:20,4100.6
2023-04-03 20:28:40,1223.4
2023-04-03 20:29:00,2605.4
2023-04-03 20:29:20,3863.8
2023-04-03 20:29:40,3786.6
2023-04-03 20:30:00,1222
2023-04-03 20:30:20,2651.8
2023-04-03 20:30:40,4220
2023-04-03 20:31:00,4111.2
2023-04-03 20:31:20,1202.4
2023-04-03 20:31:40,2323
2023-04-03 20:32:00,4068
2023-04-03 20:32:20,4094.2
2023-04-03 20:32:40,1221.4
2023-04-03 20:33:00,2199.4
2023-04-03 20:33:20,4133.8
2023-04-03 20:33:40,4112.4
2023-04-03 20:34:00,1501.8
2023-04-03 20:34:20,1518
2023-04-03 20:34:40,1940.2
2023-04-03 20:35:00,1219.4
2023-04-03 20:35:20,2647.2
2023-04-03 20:35:40,4239.2
2023-04-03 20:36:00,4068.2
2023-04-03 20:36:20,1438
2023-04-03 20:36:40,2113
2023-04-03 20:37:00,1799
2023-04-03 20:37:20,2175
2023-04-03 20:37:40,3689.4
2023-04-03 20:38:00,4171.4
2023-04-03 20:38:20,1230.6
2023-04-03 20:38:40,2108
2023-04-03 20:39:00,2262.8
2023-04-03 20:39:20,1256.2
2023-04-03 20:39:40,3009.4
2023-04-03 20:40:00,4215
2023-04-03 20:40:20,2502.6
2023-04-03 20:40:40,1596.2
2023-04-03 20:41:00,2614.6
2023-04-03 20:41:20,2577.2
2023-04-03 20:41:40,1235.2
2023-04-03 20:42:00,2855.4
2023-04-03 20:42:20,4263
2023-04-03 20:42:40,4160.4
2023-04-03 20:43:00,1311.8
2023-04-03 20:43:20,2490.2
2023-04-03 20:43:40,2751.6
2023-04-03 20:44:00,1668.2
2023-04-03 20:44:20,2139.2
2023-04-03 20:44:40,3709.4
2023-04-03 20:45:00,4162.2
2023-04-03 20:45:20,1536
2023-04-03 20:45:40,1756.2
2023-04-03 20:46:00,3139
2023-04-03 20:46:20,3089.2
2023-04-03 20:46:40,1215.2
2023-04-03 20:47:00,2451.6
2023-04-03 20:47:20,4255.4
2023-04-03 20:47:40,4168.8
2023-04-03 20:48:00,1217.8
2023-04-03 20:48:20,2080.6
2023-04-03 20:48:40,2257.4
2023-04-03 20:49:00,1242.4
2023-04-03 20:49:20,2918.2
2023-04-03 20:49:40,4228.2
2023-04-03 20:50:00,4078.6
2023-04-03 20:50:20,1557.8
2023-04-03 20:50:40,2341
2023-04-03 20:51:00,2413.2
2023-04-03 20:51:20,1858.8
2023-04-03 20:51:40,3432.4
2023-04-03 20:52:00,4125.2
2023-04-03 20:52:20,1590.6
2023-04-03 20:52:40,1614
2023-04-03 20:53:00,2977
2023-04-03 20:53:20,2890.8
2023-04-03 20:53:40,1676.8
2023-04-03 20:54:00,3374.2
2023-04-03 20:54:20,4201.6
2023-04-03 20:54:40,3730.2
2023-04-03 20:55:00,1829.6
2023-04-03 20:55:20,3004
2023-04-03 20:55:40,3279
2023-04-03 20:56:00,1272
2023-04-03 20:56:20,2211.6
2023-04-03 20:56:40,4145.6
2023-04-03 20:57:00,4121.8
2023-04-03 20:57:20,1977.8
2023-04-03 20:57:40,1984.8
2023-04-03 20:58:00,3352.8
2023-04-03 20:58:20,3765.8
2023-04-03 20:58:40,3181
2023-04-03 20:59:00,1806.8
2023-04-03 20:59:20,3623.6
2023-04-03 20:59:40,4138.6
2023-04-03 21:00:00,4088.2
2023-04-03 21:00:20,1763.2
2023-04-03 21:00:40,3482.4
2023-04-03 21:01:00,4128.4
2023-04-03 21:01:20,4088.2
2023-04-03 21:01:40,1745
2023-04-03 21:02:00,3192
2023-04-03 21:02:20,4222.6
2023-04-03 21:02:40,4104.4
2023-04-03 21:03:00,1332.6
2023-04-03 21:03:20,1906.2
2023-04-03 21:03:40,1948
2023-04-03 21:04:00,1789
2023-04-03 21:04:20,3355.2
2023-04-03 21:04:40,4192.8
2023-04-03 21:05:00,1990
2023-04-03 21:05:20,1423.8
2023-04-03 21:05:40,2110.8
2023-04-03 21:06:00,1342.2
2023-04-03 21:06:20,2199.8
2023-04-03 21:06:40,3748
2023-04-03 21:07:00,4143.4
2023-04-03 21:07:20,1367.6
2023-04-03 21:07:40,2162.8
2023-04-03 21:08:00,2249.2
2023-04-03 21:08:20,1527.2
2023-04-03 21:08:40,3119
2023-04-03 21:09:00,4252.4
2023-04-03 21:09:20,2917.4
2023-04-03 21:09:40,1560.2
2023-04-03 21:10:00,2647
2023-04-03 21:10:20,2589.8
2023-04-03 21:10:40,2218.4
2023-04-03 21:11:00,3520.8
2023-04-03 21:11:20,4180.2
2023-04-03 21:11:40,1940.2
2023-04-03 21:12:00,1603.8
2023-04-03 21:12:20,2786
2023-04-03 21:12:40,2753
2023-04-03 21:13:00,1227.4
2023-04-03 21:13:20,2955.4
2023-04-03 21:13:40,4103.4
2023-04-03 21:14:00,4163.8
2023-04-03 21:14:20,1248.4
2023-04-03 21:14:40,2619.8
2023-04-03 21:15:00,3083.4
2023-04-03 21:15:20,2977
2023-04-03 21:15:40,2074.8
2023-04-03 21:16:00,3620.4
2023-04-03 21:16:20,4183.8
2023-04-03 21:16:40,4062.8
2023-04-03 21:17:00,1500
2023-04-03 21:17:20,2294.4
2023-04-03 21:17:40,2230.2
2023-04-03 21:18:00,2240.8
2023-04-03 21:18:20,3625.6
2023-04-03 21:18:40,4115.2
2023-04-03 21:19:00,1381.4
2023-04-03 21:19:20,1747.6
2023-04-03 21:19:40,2448
2023-04-03 21:20:00,1218.4
2023-04-03 21:20:20,2369.2
2023-04-03 21:20:40,4146.2
2023-04-03 21:21:00,4075.4
2023-04-03 21:21:20,1749.4
2023-04-03 21:21:40,2737.2
2023-04-03 21:22:00,2920.2
2023-04-03 21:22:20,1222.8
2023-04-03 21:22:40,2582.2
2023-04-03 21:23:00,4196.6
2023-04-03 21:23:20,4115.8
2023-04-03 21:23:40,1229.2
2023-04-03 21:24:00,2279.6
2023-04-03 21:24:20,3344.8
2023-04-03 21:24:40,3248.4
2023-04-03 21:25:00,2185.8
2023-04-03 21:25:20,3597.4
2023-04-03 21:25:40,4108.2
2023-04-03 21:26:00,1743.8
2023-04-03 21:26:20,1847
2023-04-03 21:26:40,3473.2
2023-04-03 21:27:00,3788.2
2023-04-03 21:27:20,1336.6
2023-04-03 21:27:40,2129.4
2023-04-03 21:28:00,4012.2
2023-04-03 21:28:20,4117
2023-04-03 21:28:40,1380.2
2023-04-03 21:29:00,2057
2023-04-03 21:29:20,4008
2023-04-03 21:29:40,4140
2023-04-03 21:30:00,2859
2023-04-03 21:30:20,2138.2
2023-04-03 21:30:40,3340.6
2023-04-03 21:31:00,4156.8
2023-04-03 21:31:20,4104.2
2023-04-03 21:31:40,1370
2023-04-03 21:32:00,1930.2
2023-04-03 21:32:20,1938
2023-04-03 21:32:40,1838.6
2023-04-03 21:33:00,3578
2023-04-03 21:33:20,4168.5
2023-04-03 21:33:40,1334.8
2023-04-03 21:34:00,1633.8
2023-04-03 21:34:20,2101.6
2023-04-03 21:34:40,1218
2023-04-03 21:35:00,2752.4
2023-04-03 21:35:20,4243.6
2023-04-03 21:35:40,3724.6
2023-04-03 21:36:00,1566.4
2023-04-03 21:36:20,2236.4
2023-04-03 21:36:40,2244.2
2023-04-03 21:37:00,2216.8
2023-04-03 21:37:20,3501.2
2023-04-03 21:37:40,4179.8
2023-04-03 21:38:00,1962.6
2023-04-03 21:38:20,1554.2
2023-04-03 21:38:40,2627.6
2023-04-03 21:39:00,2571.4
2023-04-03 21:39:20,2020
2023-04-03 21:39:40,3628.6
2023-04-03 21:40:00,4192
2023-04-03 21:40:20,1275.6
2023-04-03 21:40:40,2090.4
2023-04-03 21:41:00,2763.4
2023-04-03 21:41:20,2549
2023-04-03 21:41:40,2293.4
2023-04-03 21:42:00,3566.8
